City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,yamethin,20.4333,96.15,39.05,24,0,3.62,MM,1682056122
207,keuruu,62.2667,24.7,6.1,96,100,1.47,FI,1682056123
208,alta gracia,-31.6529,-64.4283,16.87,60,96,2.64,AR,1682056123
209,kruisfontein,-34.0033,24.7314,11.05,65,38,7.22,ZA,1682056124
210,odweyne,9.4092,45.064,25.51,52,19,6.63,SO,1682056124
211,thinadhoo,0.5333,72.9333,28.95,69,83,2.48,MV,1682056125
212,cervo,43.6702,-7.4101,12.2,88,98,1.97,ES,1682056125
213,moron,-34.6534,-58.6198,15.54,76,40,2.52,AR,1682056126
214,tiksi,71.6872,128.8694,-11.65,90,100,6.59,RU,1682056126
215,coquimbo,-29.9533,-71.3436,15.85,82,75,1.03,CL,1682055986
216,broome,42.2506,-75.833,13.21,68,0,3.6,US,1682056127
217,engenheiro beltrao,-23.7972,-52.2692,16.61,89,0,1.75,BR,1682056128
218,saint-louis,16.3333,-15.0,23.07,49,72,6.53,SN,1682056129
219,zima,53.9202,102.0442,2.14,23,90,3.34,RU,1682056129
220,svetlogorsk,52.6333,29.7333,10.35,60,22,5.84,BY,1682056130
221,yatou,37.15,122.3833,12.39,27,44,11.17,CN,1682056131
222,changji,44.0167,87.3167,13.44,26,0,1.0,CN,1682056131
223,santa vitoria do palmar,-33.5189,-53.3681,12.22,90,4,2.14,BR,1682056132
224,ilulissat,69.2167,-51.1,-5.99,68,100,0.0,GL,1682056132
225,ancud,-41.8697,-73.8203,11.41,89,100,2.01,CL,1682056133
226,teguise,29.0605,-13.564,14.12,72,20,1.54,ES,1682056133
227,thompson,55.7435,-97.8558,-2.91,54,0,3.6,CA,1682055921
228,te anau,-45.4167,167.7167,12.54,81,2,0.82,NZ,1682056135
229,alofi,-19.0595,-169.9187,24.94,78,88,6.17,NU,1682056135
230,chingola,-12.529,27.8838,17.46,93,94,2.55,ZM,1682056136
231,el tigre,8.8875,-64.2454,24.15,79,95,5.9,VE,1682056138
232,agulu,6.11,7.0724,24.36,91,85,1.26,NG,1682056139
233,ostrovnoy,68.0531,39.5131,0.84,100,100,3.21,RU,1682056139
234,omboue,-1.5746,9.2618,25.99,88,100,1.87,GA,1682056140
235,west helena,34.5507,-90.6418,18.82,96,100,3.12,US,1682056140
236,tilichiki,60.4667,166.1,-1.0,83,74,4.37,RU,1682056141
237,tulun,54.5611,100.5792,1.5,36,100,3.66,RU,1682056141
238,san ramon,37.7799,-121.978,13.78,70,0,0.89,US,1682056117
239,hofn,64.2539,-15.2082,7.34,51,36,3.01,IS,1682056142
240,elko,41.0002,-115.5012,7.01,45,99,1.34,US,1682056143
241,grindavik,63.8424,-22.4338,5.26,100,20,1.54,IS,1682056143
242,yulara,-25.2406,130.9889,23.79,20,42,7.65,AU,1682056144
243,morondava,-20.2833,44.2833,26.02,74,0,2.16,MG,1682056145
244,olafsvik,64.8945,-23.7142,6.2,92,77,1.48,IS,1682056145
245,zhigansk,66.7697,123.3711,-6.15,75,100,4.03,RU,1682056146
246,mazyr,52.0495,29.2456,9.88,64,25,6.07,BY,1682056147
247,comodoro rivadavia,-45.8667,-67.5,18.92,32,0,10.8,AR,1682056148
248,tabou,4.423,-7.3528,26.08,85,100,2.0,CI,1682056148
249,windhoek,-22.5594,17.0832,15.62,46,0,5.14,NA,1682056074
250,porto novo,6.4965,2.6036,28.9,80,66,4.77,BJ,1682055948
251,meulaboh,4.1363,96.1285,29.62,67,99,2.66,ID,1682056150
252,milas,37.3164,27.7839,11.64,87,0,1.03,TR,1682056151
253,derzhavinsk,51.1,66.3167,8.58,47,34,2.07,KZ,1682056151
254,revelstoke,50.9832,-118.2023,8.01,49,100,4.63,CA,1682056152
255,faya,18.3851,42.4509,17.29,48,1,2.94,SA,1682056152
256,sarangani,5.4033,125.4636,28.95,70,37,2.9,PH,1682056153
257,seminole,28.7086,-81.2081,21.7,88,0,1.54,US,1682056124
258,machala,-3.2667,-79.9667,24.67,86,100,0.56,EC,1682056154
259,hornepayne,49.2138,-84.7705,-0.95,93,100,7.0,CA,1682056155
260,trapani,37.8333,12.6667,14.38,82,0,1.54,IT,1682056155
261,matay,28.419,30.7792,18.55,48,0,7.04,EG,1682056156
262,malanje,-9.5402,16.341,18.88,96,100,1.02,AO,1682056156
263,linkuva,56.0856,23.9725,7.37,63,25,3.2,LT,1682056157
264,rocha,-34.4833,-54.3333,9.2,94,5,2.78,UY,1682056155
265,yambio,4.5721,28.3955,25.35,69,83,2.45,SS,1682056158
266,petropavlovsk-kamchatskiy,53.0452,158.6483,1.33,80,75,10.0,RU,1682056158
267,riyadh,24.6877,46.7219,25.08,16,0,2.21,SA,1682056112
268,flin flon,54.7682,-101.865,-2.7,95,100,3.61,CA,1682056160
269,kaspiyskiy,45.3929,47.3707,13.96,63,79,4.44,RU,1682056160
270,tiznit,29.5833,-9.5,13.18,87,99,2.22,MA,1682056161
271,paamiut,61.994,-49.6678,0.55,86,91,3.57,GL,1682056161
272,grand gaube,-20.0064,57.6608,28.22,75,3,4.02,MU,1682056162
273,konce,41.4958,22.385,9.6,72,3,2.46,MK,1682056162
274,salvador,13.8333,-88.9167,24.22,83,100,0.36,SV,1682056163
275,camabatela,-8.1881,15.375,17.95,99,100,0.9,AO,1682056164
276,richards bay,-28.783,32.0377,21.23,81,99,9.06,ZA,1682056164
277,bonfim,3.0833,-59.95,26.03,78,87,2.24,BR,1682056165
278,tecoanapa,16.5167,-98.75,25.94,77,50,3.12,MX,1682056165
279,contai,21.7786,87.7536,39.92,20,27,0.17,IN,1682056166
280,san patricio,28.017,-97.5169,24.94,95,11,2.77,US,1682056166
281,broken hill,-31.95,141.4333,20.35,37,0,6.3,AU,1682056050
282,bilibino,68.0546,166.4372,0.23,86,55,0.96,RU,1682056167
283,biak,-0.9131,122.8766,27.22,81,100,1.48,ID,1682056168
284,hobyo,5.3505,48.5268,29.38,66,78,3.04,SO,1682056169
285,nantucket,41.2835,-70.0995,8.33,82,0,4.63,US,1682056169
286,fuyang,32.9,115.8167,20.43,45,28,7.84,CN,1682056170
287,tambura,5.6,27.4667,27.03,54,76,2.14,SS,1682056171
288,pitimbu,-7.4706,-34.8086,24.33,75,70,3.09,BR,1682056171
289,nuuk,64.1835,-51.7216,-1.66,100,100,1.54,GL,1682056172
290,petrovskaya,45.4314,37.955,13.9,72,84,6.48,RU,1682056172
291,cheremisinovo,51.8855,37.2646,7.98,80,100,7.15,RU,1682056173
292,serpa,37.9458,-7.5975,10.98,91,49,1.46,PT,1682056173
293,namatanai,-3.6667,152.4333,28.34,77,46,3.95,PG,1682056175
294,port elizabeth,-33.918,25.5701,14.62,62,75,6.69,ZA,1682056175
295,dudinka,69.4058,86.1778,-5.21,91,92,6.6,RU,1682056176
296,vestmanna,62.1564,-7.1664,3.51,75,2,0.0,FO,1682056177
297,lebanon,36.2081,-86.2911,21.42,56,91,2.7,US,1682056177
298,pedasi,7.5333,-80.0333,23.93,80,100,4.55,PA,1682056178
299,auchi,7.0667,6.2667,24.11,94,86,2.09,NG,1682056178
300,iralaya,15.0,-83.2333,25.42,80,96,4.02,HN,1682056179
301,santa rosa,14.3122,121.1114,35.05,53,100,1.75,PH,1682055963
302,korla,41.7597,86.1469,16.17,23,71,3.44,CN,1682056180
303,perth,-31.9333,115.8333,28.1,29,0,3.09,AU,1682056049
304,muzhi,65.3667,64.6667,-0.33,94,100,1.33,RU,1682056182
305,padang,-0.9492,100.3543,31.03,75,65,2.69,ID,1682056182
306,anadyr,64.75,177.4833,-5.72,79,0,7.0,RU,1682056183
307,chernyshevskiy,63.0128,112.4714,-2.77,75,72,3.07,RU,1682056183
308,byron bay,-28.65,153.6167,20.39,76,88,9.35,AU,1682056184
309,sur,22.5667,59.5289,30.02,53,62,4.54,OM,1682056184
310,dunedin,-45.8742,170.5036,11.56,10,86,1.34,NZ,1682056185
311,sabla,12.7525,4.7077,28.3,30,78,3.55,NG,1682056185
312,gouyave,12.1646,-61.7296,26.43,83,20,10.29,GD,1682056186
313,amboise,47.4125,0.9827,2.3,89,32,1.03,FR,1682056186
314,malakal,9.5334,31.6605,33.28,9,9,2.62,SS,1682056187
315,selikhino,50.3672,137.4996,3.08,82,100,6.69,RU,1682056187
316,aban,56.67,96.06,0.29,70,74,2.41,RU,1682056188
317,shaoxing,30.011,120.5715,23.97,55,59,3.07,CN,1682056189
318,itoman,26.1247,127.6694,24.43,83,75,7.2,JP,1682056189
319,qinhuangdao,39.9317,119.5883,13.32,22,89,5.22,CN,1682056190
320,aitape,-3.1374,142.3475,28.79,75,27,2.59,PG,1682056190
321,verkhoyansk,67.5447,133.385,-5.87,79,100,2.08,RU,1682056191
322,gamba,-2.65,10.0,26.17,86,99,1.26,GA,1682056192
323,vilyuysk,63.7553,121.6247,-3.06,80,100,4.51,RU,1682056192
324,santiago de cao,-7.9589,-79.2392,23.07,83,75,1.54,PE,1682056193
325,klaksvik,62.2266,-6.589,4.51,72,2,2.65,FO,1682056194
326,guiratinga,-16.3494,-53.7583,16.0,78,51,1.8,BR,1682056195
327,ninh binh,20.2539,105.975,35.13,50,35,2.98,VN,1682056195
328,taltal,-25.4,-70.4833,17.07,87,61,0.34,CL,1682056196
329,kikwit,-5.041,18.8162,22.0,93,100,0.81,CD,1682056197
330,faanui,-16.4833,-151.75,28.37,78,100,8.22,PF,1682056197
331,oistins,13.0667,-59.5333,26.05,83,75,5.66,BB,1682056198
332,liepaja,56.5419,21.0367,6.99,61,0,2.06,LV,1682056198
333,mogadouro,41.3403,-6.7119,6.81,70,91,0.96,PT,1682056199
334,kamina,-8.7386,24.9906,19.0,92,85,0.57,CD,1682056199
335,vanimo,-2.6741,141.3028,28.61,73,36,2.05,PG,1682056200
336,watsa,3.0372,29.5355,21.21,81,100,1.12,CD,1682056200
337,brae,60.3964,-1.353,7.25,88,5,1.53,GB,1682056201
338,englewood,39.6478,-104.9878,3.49,34,0,5.14,US,1682056123
339,puerto escondido,15.85,-97.0667,27.01,77,72,4.08,MX,1682056158
340,cabedelo,-6.9811,-34.8339,24.37,73,94,3.43,BR,1682056203
341,port blair,11.6667,92.75,32.15,54,44,1.87,IN,1682056204
342,aklavik,68.2191,-135.0107,-7.26,95,100,1.42,CA,1682056205
